Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt
-168.241649,61.43456661,-177.1081003,-4.683394569,82.83251521,-13.57815294
-168.2824237,61.42296802,-177.1541698,-4.585272389,82.82713626,-13.47529011
-168.3110913,61.41063219,-177.189891,-4.506802831,82.82021306,-13.39411652
-168.3352275,61.39981626,-177.2285131,-4.432564785,82.81344296,-13.31281712
-168.3707189,61.38961401,-177.2686697,-4.316607101,82.80964478,-13.19630606
-168.4167776,61.3816658,-177.334871,-4.174307286,82.80588717,-13.04168087
-168.443012,61.37180677,-177.378231,-4.04806927,82.80138316,-12.90865755
-168.4913535,61.36200593,-177.4395816,-3.925706683,82.79738626,-12.77108036
-168.5377317,61.35300884,-177.5062039,-3.784126239,82.7938218,-12.62330852
-168.5776943,61.3429716,-177.5556629,-3.662633679,82.78622532,-12.49871376
-168.621009,61.33519821,-177.6103732,-3.57975648,82.77924515,-12.41267224
-168.6550751,61.3241024,-177.6472894,-3.530130428,82.77115451,-12.36040582
-168.6811204,61.31472223,-177.6806288,-3.491374336,82.76403286,-12.3206781
-168.7132611,61.30491868,-177.7186081,-3.459424607,82.7569243,-12.28479918
-168.7417436,61.29285177,-177.7557377,-3.406154315,82.75075074,-12.23203906
-168.7795785,61.27854277,-177.8000374,-3.338207013,82.74318551,-12.16301437
-168.8072009,61.26453235,-177.8349704,-3.295307692,82.73597137,-12.11789573
-168.852095,61.25082202,-177.8841747,-3.236862483,82.72882078,-12.05362365
-168.9020552,61.23654196,-177.9349947,-3.238512353,82.72058227,-12.0497792
-168.9313306,61.22317821,-177.9698268,-3.211439273,82.71208289,-12.02118013
-168.9521925,61.21184255,-178.0050435,-3.152114767,82.70592293,-11.9606661
-168.9925464,61.20107381,-178.0594949,-3.098743088,82.69968989,-11.90116055
-169.0431115,61.18851451,-178.1145419,-3.023022105,82.69462806,-11.82562592
-169.0569704,61.17643699,-178.1409537,-2.936556618,82.68951273,-11.74301196
-169.0901939,61.16029143,-178.1791999,-2.881034841,82.68700556,-11.67877067
-169.1266401,61.14580757,-178.2287714,-2.839825785,82.68418467,-11.6305832
-169.17263,61.13019687,-178.281044,-2.830463145,82.67991404,-11.613571
-169.1927318,61.11452406,-178.3147448,-2.806656146,82.67606995,-11.58691517
-169.2158891,61.09776452,-178.3438797,-2.801140324,82.67170575,-11.58103955
-169.2371624,61.08348479,-178.3761405,-2.768649442,82.66958099,-11.5477347
-169.274987,61.06702784,-178.4083459,-2.790260874,82.66681849,-11.56618163
-169.2891663,61.05143857,-178.4293357,-2.799509576,82.66427184,-11.57752289
-169.3084114,61.03598934,-178.4530732,-2.762941958,82.66278509,-11.54178066
-169.3270279,61.02055386,-178.4798859,-2.740716752,82.66012808,-11.52212199
-169.3453352,61.00196027,-178.5057917,-2.755996808,82.65219517,-11.53492089
-169.3652902,60.98340362,-178.5296784,-2.767319349,82.64489561,-11.54356144
-169.3849049,60.96437839,-178.557613,-2.761821186,82.63796504,-11.53569317
-169.3933811,60.94484623,-178.5706935,-2.76397579,82.63136463,-11.53611224
-169.3946587,60.92581619,-178.5822356,-2.731438257,82.62511897,-11.5058447
-169.417345,60.90603388,-178.6164616,-2.687076456,82.61892059,-11.45952797
-169.4169776,60.88521694,-178.6203326,-2.710029948,82.61178668,-11.48569841
-169.4288667,60.86407224,-178.6357808,-2.674611422,82.60558675,-11.44327725
-169.4327793,60.84360121,-178.6448874,-2.66321485,82.59900882,-11.4300551
-169.4474706,60.82233664,-178.6636217,-2.638442436,82.59210829,-11.403325
-169.4579697,60.80562867,-178.6754346,-2.621786286,82.58460961,-11.38859384
-169.4521398,60.78930109,-178.6737716,-2.59803182,82.57783896,-11.3699018
-169.4516381,60.77394336,-178.6768785,-2.604561622,82.57023676,-11.38498475
-169.4528737,60.75864954,-178.6871888,-2.59106983,82.56234057,-11.3730768
-169.4501456,60.74277634,-178.6872083,-2.621982753,82.55380574,-11.40582268
-169.4468441,60.72414654,-178.688187,-2.611744437,82.54856365,-11.39764398
-169.4381246,60.70537447,-178.6826723,-2.602175024,82.5423029,-11.38598771
-169.4363665,60.68566861,-178.6777393,-2.627215351,82.53604659,-11.40950647
-169.4378534,60.66421802,-178.6662447,-2.662443003,82.52999958,-11.44755382
-169.4307494,60.64663949,-178.6702642,-2.655942072,82.52448048,-11.4401417
-169.4332293,60.62802067,-178.6823725,-2.623381753,82.52111429,-11.40604758
-169.4210416,60.60701863,-178.6660061,-2.61290817,82.51766452,-11.39589032
-169.4216207,60.58571523,-178.6584301,-2.617683687,82.51334029,-11.40164262
-169.4190379,60.56472235,-178.6555987,-2.597132696,82.51019547,-11.38355383
-169.4183544,60.54395779,-178.6527028,-2.606175496,82.50597509,-11.39190235
-169.4192258,60.52653879,-178.6462649,-2.65690949,82.49771403,-11.44334271
-169.4020759,60.50874819,-178.623291,-2.700985055,82.48902493,-11.49671866
-169.3989129,60.49054607,-178.6123861,-2.739313399,82.48083271,-11.54219506
-169.3961693,60.47231316,-178.6049177,-2.746620223,82.47299864,-11.55259712
-169.3978097,60.45424654,-178.6031517,-2.738261581,82.46560634,-11.54589917
-169.4026061,60.43531333,-178.6097668,-2.776611133,82.45971697,-11.5826076
-169.3951595,60.41596874,-178.5984515,-2.790690945,82.45448924,-11.60146118
-169.3805217,60.39699796,-178.5818543,-2.818594534,82.44948101,-11.63333617
-169.3835633,60.37713731,-178.5747841,-2.822116776,82.44472623,-11.64202287
-169.3779367,60.35833148,-178.5649013,-2.868520268,82.43880389,-11.68808125
-169.3907083,60.33853769,-178.5693405,-2.88867524,82.43467639,-11.71167482
-169.4078099,60.31905073,-178.5823974,-2.920664036,82.42910066,-11.74296771
-169.4046006,60.29958786,-178.5762736,-2.998572334,82.42268791,-11.8204955
-169.4014952,60.28054054,-178.5740884,-3.031047561,82.41746034,-11.85687294
-169.4018448,60.2627631,-178.5789346,-3.023740344,82.41352137,-11.85058
-169.3959878,60.24211695,-178.5700585,-3.052743602,82.4063968,-11.88593273
-169.3879789,60.2214361,-178.5599395,-3.10040878,82.39860717,-11.94194549
-169.3993936,60.19916939,-178.5637247,-3.144206802,82.39014022,-11.98593508
-169.3855678,60.17924989,-178.5513221,-3.164476838,82.38238786,-12.01773944
-169.3937406,60.15945837,-178.5591313,-3.214010925,82.37438613,-12.06875738
-169.3955995,60.13993342,-178.5570856,-3.225747726,82.36615152,-12.07796017
-169.3953145,60.12145888,-178.5515585,-3.209214923,82.35836588,-12.07102687
-169.399189,60.10430407,-178.5591185,-3.208844261,82.35053848,-12.06858973
-169.3948472,60.08803467,-178.5623021,-3.154234284,82.34469383,-12.01827741
-169.3896506,60.07024239,-178.5534352,-3.178715986,82.33621335,-12.04590563
-169.3792302,60.04951725,-178.5457743,-3.178782777,82.33203676,-12.05268098
-169.3682154,60.03026154,-178.540525,-3.17397072,82.32933002,-12.05123967
-169.3690923,60.0097525,-178.5366302,-3.202477682,82.32528545,-12.08195093
-169.3527239,59.99026518,-178.5207341,-3.258172755,82.32092865,-12.1499141
-169.3521025,59.97107152,-178.5244365,-3.276896707,82.31712056,-12.17104356
-169.3683765,59.95549807,-178.5417851,-3.315109475,82.30832727,-12.20789702
-169.3744808,59.93885216,-178.5427682,-3.362495216,82.29892136,-12.25513163
-169.3796428,59.92217757,-178.5461942,-3.375526353,82.29004372,-12.27174922
-169.3772825,59.90794301,-178.555861,-3.393281306,82.28206733,-12.291933
-169.3648768,59.89642824,-178.5565374,-3.402412902,82.27649546,-12.30772398
-169.3460813,59.87868398,-178.5475486,-3.369887068,82.27215832,-12.28280821
-169.3359709,59.86164678,-178.5452231,-3.367764178,82.26718677,-12.28597799
-169.3315305,59.84335429,-178.5455781,-3.335828041,82.26213053,-12.25895351
-169.3121432,59.82380033,-178.5244889,-3.350383952,82.25648136,-12.27859057
-169.3065404,59.80449862,-178.5182463,-3.367411537,82.25007513,-12.29901869
-169.3032658,59.78963381,-178.522128,-3.366809602,82.24614684,-12.30484089
-169.304107,59.77348994,-178.517481,-3.397662216,82.24202362,-12.3402234
-169.2848419,59.75816538,-178.5009206,-3.405301881,82.23789168,-12.35002204
-169.2846687,59.74248453,-178.5044113,-3.389163665,82.23440992,-12.33366068
-169.2747683,59.72779013,-178.4991599,-3.391801168,82.23069733,-12.34089857
-169.2687169,59.71847378,-178.5022679,-3.387012433,82.22620732,-12.34100199
-169.270809,59.70892736,-178.5110444,-3.373598289,82.22261718,-12.33747796
-169.2514651,59.69879714,-178.5013897,-3.376637108,82.21831548,-12.35101915
-169.2439507,59.68763751,-178.4949561,-3.38733516,82.21371841,-12.3674935
-169.242936,59.67706656,-178.4972527,-3.436334276,82.20844843,-12.4217455
-169.2316947,59.66337597,-178.4975297,-3.420143701,82.20323024,-12.41207716
-169.22873,59.64876304,-178.5017965,-3.440171563,82.19712699,-12.43738609
-169.2214154,59.63262309,-178.4940501,-3.451250833,82.1910747,-12.45142737
-169.2187286,59.61662648,-178.4915444,-3.450843158,82.18489446,-12.45779844
-169.2285358,59.60060975,-178.5049184,-3.500402879,82.17672754,-12.50787798
-169.2102065,59.5838064,-178.494069,-3.478178416,82.17329504,-12.49343039
-169.2035967,59.56623265,-178.4900905,-3.50372231,82.1686581,-12.52504078
-169.2045473,59.54905515,-178.4933461,-3.491105428,82.1648968,-12.5136052
-169.1980219,59.5311282,-178.4900861,-3.486935072,82.16004403,-12.51234234
-169.1766944,59.51529166,-178.479162,-3.509209139,82.15679727,-12.54312151
-169.1631291,59.4958672,-178.461586,-3.535042083,82.1534109,-12.57867662
-169.145574,59.47787551,-178.4500766,-3.524218284,82.15101477,-12.57873253
-169.1217311,59.45906828,-178.4260077,-3.528826467,82.14881301,-12.59376934
-169.1089203,59.43940697,-178.4055931,-3.564023727,82.14518835,-12.6379154
-169.1017909,59.41930155,-178.3956322,-3.573826845,82.14117188,-12.65185324
-169.1071079,59.40246041,-178.4005257,-3.537549218,82.13353509,-12.6202324
-169.1036957,59.38737999,-178.4003379,-3.563829486,82.12565779,-12.6534271
-169.0840483,59.37170083,-178.3850776,-3.593375683,82.11715593,-12.69278668
-169.0655244,59.35680054,-178.3793535,-3.56412872,82.10987226,-12.67186644
-169.0622892,59.34037274,-178.3704947,-3.561430285,82.10271714,-12.67868015
-169.0451241,59.32077638,-178.3594796,-3.535991738,82.09758025,-12.65799353
-169.0417098,59.30082115,-178.3529536,-3.546343636,82.09209847,-12.66827075
-169.0279113,59.28180956,-178.3460124,-3.557430675,82.08524341,-12.68685743
-169.0218414,59.26162645,-178.3364256,-3.601032539,82.07833563,-12.73431034
-169.0011368,59.24007616,-178.3129715,-3.623665689,82.07101072,-12.76771161
-168.9914832,59.22054456,-178.3023064,-3.641299156,82.06147999,-12.79330513
-168.9838486,59.20151345,-178.2984065,-3.631534108,82.05346562,-12.79018555
-168.9801662,59.18025008,-178.2833919,-3.721108325,82.04226374,-12.88521766
-168.9549769,59.16123638,-178.2593992,-3.749757039,82.0331275,-12.92599987
-168.9408969,59.14243042,-178.2540043,-3.736297618,82.02406419,-12.91739122
-168.9423481,59.12332728,-178.2551493,-3.719454013,82.01560989,-12.90185374
-168.9414378,59.10532927,-178.2590607,-3.682971435,82.00787361,-12.86785586
-168.9429676,59.08724548,-178.2617183,-3.677774608,81.9999801,-12.86170469
-168.9455651,59.06927248,-178.2690912,-3.651472941,81.99203653,-12.8383284
-168.9476815,59.05190083,-178.2684052,-3.63089783,81.98522046,-12.82215475
-168.9409515,59.03345768,-178.257751,-3.63928209,81.97563182,-12.8349274
-168.9192122,59.01627055,-178.2369252,-3.643252819,81.96721095,-12.85007546
-168.8997214,58.99745712,-178.2116644,-3.669185888,81.95795698,-12.87953329
-168.8821069,58.98213755,-178.2087186,-3.607465574,81.95065403,-12.82452747
-168.8744198,58.96382933,-178.1967653,-3.596081939,81.94138398,-12.81871797
-168.8547113,58.94579491,-178.1835564,-3.585439718,81.93605131,-12.8186654
-168.8419877,58.92678881,-178.1700762,-3.569677924,81.93100165,-12.80827691
-168.8290826,58.90846093,-178.1603341,-3.578355942,81.92528252,-12.82675417
-168.8331199,58.89157876,-178.1696218,-3.546405214,81.92148023,-12.79735894
-168.8439852,58.87750672,-178.1808987,-3.495235114,81.91854294,-12.74611723
-168.8597314,58.86450137,-178.2035122,-3.465455718,81.91367437,-12.71834392
-168.8688249,58.84977334,-178.2116926,-3.449491989,81.90772085,-12.70324156
-168.8698351,58.83622108,-178.2193759,-3.439521535,81.90178648,-12.69041366
-168.8625163,58.82387294,-178.2236584,-3.38484196,81.89771705,-12.64254734
-168.8569453,58.81119451,-178.2255715,-3.345848603,81.89256723,-12.6097985
-168.8579534,58.79952982,-178.2328322,-3.302825895,81.88719452,-12.57061871
-168.8601991,58.78721481,-178.2363736,-3.300753151,81.88129461,-12.5731719
-168.8802653,58.77514052,-178.2537778,-3.300297201,81.8750888,-12.5795228
-168.8816055,58.76258204,-178.2503507,-3.296038629,81.86902056,-12.58218828
-168.8833473,58.74818712,-178.253401,-3.294396923,81.8629599,-12.58523159
-168.8804627,58.73272692,-178.247519,-3.289257362,81.85728947,-12.58442717
-168.889069,58.71909752,-178.2627562,-3.245176234,81.85269041,-12.54131979
-168.8871504,58.70392078,-178.2610903,-3.233693711,81.84810798,-12.53448104
-168.899456,58.68846243,-178.2740678,-3.235254933,81.84211512,-12.53608626
-168.8909131,58.6750308,-178.2699508,-3.217496252,81.83705406,-12.52660899
-168.8877895,58.66250627,-178.2782097,-3.175129764,81.83237441,-12.49044639
-168.9064106,58.64920547,-178.297941,-3.138304025,81.82641992,-12.4613092
-168.9213547,58.63501903,-178.3139536,-3.113410674,81.81979432,-12.43811291
-168.9370155,58.62145518,-178.3322263,-3.047092328,81.8136418,-12.37416787
-168.9580924,58.60904291,-178.3602569,-3.028616062,81.80676942,-12.35516705
-168.9740536,58.59543047,-178.3748445,-2.960710742,81.80091563,-12.29036178
-168.9902176,58.58206715,-178.3953986,-2.932122711,81.79466093,-12.25858675
-169.0003191,58.5684093,-178.4081872,-2.890361671,81.78935643,-12.21842321
-169.0210028,58.55470285,-178.4273773,-2.877963306,81.78289051,-12.20229015
-169.0523784,58.54080491,-178.4576294,-2.870279009,81.77603471,-12.18775592
-169.0764334,58.52867174,-178.4886135,-2.846798098,81.76951945,-12.16010985
-169.0873395,58.51533652,-178.5003924,-2.785751755,81.76283656,-12.09920599
-169.1090846,58.50213365,-178.5208807,-2.751622619,81.75434436,-12.0660192
-169.1250474,58.48931591,-178.5369256,-2.687146599,81.74769387,-11.99898833
-169.146629,58.47389335,-178.5598263,-2.648200306,81.74009722,-11.95930485
-169.1634014,58.45981702,-178.5902322,-2.56915263,81.73339219,-11.87838145
-169.186867,58.44416864,-178.6140575,-2.521473096,81.7290605,-11.83055584
-169.218027,58.42722157,-178.6404223,-2.474489385,81.72359155,-11.77373442
-169.2263246,58.41015873,-178.6531647,-2.430354859,81.71771123,-11.73073698
-169.2394432,58.39434799,-178.6639396,-2.389681162,81.71106506,-11.6905639
-169.2654556,58.37993428,-178.6940174,-2.360329496,81.70418191,-11.65885011
-169.2838493,58.36735296,-178.7224316,-2.300540883,81.69871597,-11.59199651
-169.2895438,58.35379277,-178.7375631,-2.236732482,81.69228575,-11.52861159
-169.2927497,58.34149414,-178.7502084,-2.192884883,81.68700836,-11.48261501
-169.2954797,58.32364957,-178.7612475,-2.171905455,81.68140258,-11.45758181
-169.2859719,58.3066139,-178.7665428,-2.114808801,81.67644701,-11.40614997
-169.2680035,58.28730401,-178.7531576,-2.083020733,81.67019545,-11.37853408
-169.2684344,58.26804087,-178.7548878,-2.065821224,81.66285955,-11.36275667
-169.2727741,58.25046781,-178.7699655,-2.023800121,81.65625304,-11.32135902
-169.2796914,58.23806389,-178.7847903,-2.014377137,81.64951801,-11.31122601
-169.2922518,58.22467719,-178.7991716,-1.96274584,81.64381967,-11.2524812
-169.2852885,58.21097524,-178.7928798,-1.928248035,81.635784,-11.22050063
-169.2748179,58.19753602,-178.7876142,-1.884746077,81.62839777,-11.17657078
-169.2669269,58.18449858,-178.7865256,-1.852577206,81.62084829,-11.14862857
-169.2670568,58.17009644,-178.7959856,-1.76104607,81.61534314,-11.05524706
-169.258377,58.15631083,-178.797271,-1.707537,81.60960263,-11.00677182
-169.2357974,58.14021048,-178.7797552,-1.661330858,81.60739836,-10.96259767
-169.2316666,58.1236443,-178.7748178,-1.650796871,81.60281976,-10.95263825
-169.2161281,58.10797083,-178.7595248,-1.646696845,81.59935497,-10.9530594
-169.1895978,58.09269531,-178.7370992,-1.624865987,81.59641611,-10.93667835
-169.185951,58.07651296,-178.7295752,-1.638064804,81.59236462,-10.94967364
-169.1860647,58.06186872,-178.7288541,-1.610747898,81.58435811,-10.92427267
-169.1767288,58.04643912,-178.719794,-1.594818908,81.57580918,-10.90635268
-169.1685314,58.03269774,-178.7182738,-1.543179779,81.56825111,-10.86028723
-169.1601609,58.01942393,-178.7092866,-1.54574323,81.5598223,-10.86059087
-169.15513,58.00679128,-178.705319,-1.549250899,81.55064992,-10.86684695
-169.1533972,57.99516063,-178.7065767,-1.550796788,81.54388991,-10.86589014
-169.1452535,57.98321912,-178.7036222,-1.529288863,81.53741631,-10.84679909
-169.1391939,57.9712971,-178.6964859,-1.51092471,81.53055002,-10.83709272
-169.1292366,57.95430095,-178.6847969,-1.471152441,81.52482207,-10.80156152
-169.1227671,57.93756935,-178.6757012,-1.464288776,81.51857263,-10.79869424
-169.1253321,57.92182485,-178.6767519,-1.45401271,81.51244943,-10.7894876
-169.1185593,57.90495539,-178.6638217,-1.491511238,81.5036335,-10.82993236
-169.1201862,57.88818196,-178.6605251,-1.5286881,81.49564633,-10.87020528
-169.116689,57.87463447,-178.6581593,-1.496330309,81.48885378,-10.83999903
-169.128998,57.86109541,-178.6684666,-1.487707983,81.48124555,-10.83263229
-169.107955,57.84663909,-178.6504727,-1.481833653,81.47491285,-10.83429278
-169.0946356,57.83361,-178.6375096,-1.48752258,81.46989425,-10.84839833
-169.0933473,57.82044894,-178.6316935,-1.496736161,81.46471497,-10.86110255
-169.1006254,57.80757661,-178.6419458,-1.483408297,81.45926843,-10.85313467
-169.1141859,57.79298811,-178.6491338,-1.501490663,81.45290893,-10.87025371
-169.1209574,57.77803424,-178.6451892,-1.511169172,81.44421784,-10.8848747
-169.1105943,57.76575329,-178.6384203,-1.451353401,81.43829279,-10.82825251
-169.1087547,57.75427244,-178.6422622,-1.463060235,81.43088638,-10.84214679
-169.1120943,57.74224785,-178.6495414,-1.446084149,81.42354138,-10.82943817
-169.1150127,57.73050901,-178.6554549,-1.399537308,81.41672657,-10.78637482
-169.117522,57.71843793,-178.6588046,-1.352743334,81.4114544,-10.74025242
-169.1006723,57.70503518,-178.6434207,-1.378593967,81.40334476,-10.77259055
-169.104143,57.68989842,-178.6318042,-1.400066873,81.3952923,-10.80079287
-169.0996571,57.67758352,-178.6261946,-1.396760607,81.38795938,-10.80144162
-169.1040274,57.66625505,-178.6306077,-1.395010535,81.38008314,-10.80351192
-169.1113125,57.65446347,-178.6312065,-1.394852618,81.37312268,-10.80966322
-169.1045301,57.64477083,-178.6297882,-1.384302851,81.36758467,-10.79845837
-169.1142487,57.63522896,-178.6399973,-1.348551522,81.3631027,-10.7630499
-169.1180936,57.62199029,-178.6449708,-1.319346996,81.35785273,-10.73182844
-169.1382147,57.60891863,-178.6674581,-1.293257397,81.35243247,-10.70361877
-169.1333348,57.5948585,-178.6615282,-1.302529826,81.34582556,-10.71316574
-169.1400516,57.58111552,-178.6672824,-1.318643786,81.33939054,-10.73102236
-169.1468632,57.56793017,-178.6773462,-1.298396061,81.33372355,-10.71368778
-169.1414729,57.5537194,-178.6677981,-1.312561259,81.32743871,-10.73089299
-169.1367718,57.54006771,-178.6629243,-1.313974852,81.32198574,-10.73676285
-169.1350723,57.52632382,-178.6587208,-1.302072499,81.31862916,-10.72716178
-169.1347023,57.51390727,-178.6613623,-1.276839686,81.31619154,-10.70220022
-169.1396981,57.49832138,-178.6507939,-1.296443045,81.31267832,-10.72160537
-169.1526472,57.49083699,-178.6656872,-1.285670498,81.30963204,-10.71043221
-169.1710791,57.48206492,-178.6819631,-1.277437425,81.30654211,-10.70336482
-169.1799661,57.47263163,-178.6859874,-1.287454781,81.297977,-10.71783408
-169.1858477,57.46319116,-178.6864718,-1.3030403,81.28929405,-10.73427269
-169.2042389,57.45389939,-178.7002196,-1.310001599,81.28005047,-10.74194829
-169.2102611,57.44325908,-178.6986019,-1.341579075,81.27029876,-10.78112382
-169.2084567,57.43306953,-178.6961352,-1.319584648,81.26144198,-10.76453487
-169.2086035,57.42278183,-178.6940664,-1.304452936,81.25532917,-10.75747985
