Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
85.93450509,-61.7156821,-77.30727214,-159.55769,-61.78460118,165.1517764,16.70521764,7.170750859,8.883357749,18.29601694,-0.960723207,-8.775550523,74.4721875,-9.931428259,-71.43028289,37.33976871,-10.98779354,-28.65993906
87.32108427,-60.46537186,-78.20164414,-156.5204362,-61.46346072,162.6234744,16.63732731,6.460616338,8.649496298,18.22824061,-1.060138247,-9.335522651,73.81761704,-10.17022952,-70.82568106,38.01197064,-12.27393493,-28.00366195
89.75471088,-59.18434461,-79.96296117,-153.7079847,-61.19159075,160.2887206,15.56159311,6.327168519,8.697431677,18.03309247,-1.115289522,-10.10852445,73.68772568,-10.537395,-70.2401553,38.55110116,-13.70758883,-27.16401766
92.59439092,-58.08565565,-82.26574217,-151.4238539,-61.08301709,158.7064067,13.84124174,6.379614173,9.283220359,17.57753319,-1.055062786,-11.22114408,74.08538871,-10.85068263,-69.91417293,38.89406798,-15.21390857,-26.23628126
95.3977458,-56.53664298,-84.55837387,-150.1669838,-61.22832029,158.1801589,10.93413414,6.247451531,10.1009565,16.63010092,-0.945737735,-12.34275043,75.0989876,-11.16824621,-69.86796188,38.81854407,-16.90922022,-25.1766182
97.40113434,-54.32657973,-86.12722189,-150.4691358,-61.59416446,159.051221,6.816540535,5.534981976,10.84150612,14.91904805,-0.853963096,-13.38878868,76.14413773,-11.55471324,-70.10550223,38.53171595,-18.82728613,-24.09376809
98.39961188,-53.63777341,-87.09633095,-151.5967373,-62.2579472,160.5309195,3.762988032,4.893480629,11.98329313,12.53034303,-0.907298346,-14.60218594,76.64172848,-11.98095387,-70.80374066,38.01733953,-21.38482358,-22.6058625
100.4970929,-55.95228831,-88.426359,-153.1910529,-63.07930051,162.653052,3.439500963,5.735529223,12.81706442,9.775763983,-0.949981185,-15.64576658,76.86003895,-12.87444313,-71.75065254,36.79182408,-24.15655466,-20.90039509
103.307012,-58.82794617,-90.32307342,-154.8330344,-64.08507049,164.7337949,5.862786861,7.612674742,13.33177103,6.928108839,-1.225494034,-16.75221059,76.17506216,-13.7439685,-72.71690505,34.76614542,-27.14003818,-18.64990092
103.6242269,-59.09932431,-90.51578489,-156.0237356,-65.53197156,165.9692499,5.859076748,8.276678655,14.76400757,4.513062877,-1.76491845,-17.6001771,73.83408524,-12.60082195,-74.74844627,31.41376814,-30.23948148,-15.52238471
100.5295786,-60.41758889,-86.69531728,-157.1112333,-67.33187022,166.3811417,4.22214522,9.446891719,14.61119147,1.710323068,-2.067557662,-17.85688431,74.86288123,-12.43088279,-76.7379482,26.49347936,-33.22956311,-10.57569958
94.77722963,-62.37163966,-80.83673956,-162.2001348,-68.77002231,170.8448491,3.617979497,8.410334085,13.75736741,-2.248136732,-1.945929818,-19.0504524,76.56912376,-11.7973676,-77.47837197,20.44510853,-36.23125542,-3.449209994
89.77489422,-64.80109242,-77.32980592,-168.6857034,-69.96838912,176.52311,4.327429654,7.746718001,14.20636181,-6.822899669,-1.474519019,-20.19284809,77.9987546,-10.40008498,-77.77974429,14.57285565,-38.4588233,3.956530232
89.36444286,-66.132161,-78.81660691,-178.2730105,-70.76704769,175.3833915,4.58408936,8.647600884,16.03150181,-11.97813256,-0.14607647,-20.47000972,79.53069543,-9.067603066,-78.11059519,10.51824608,-40.46478374,10.12444658
92.26817376,-67.60882109,-81.95392365,-172.8003231,-70.4683142,168.0756031,4.860785429,10.4897826,16.51133376,-16.71645875,1.488665891,-20.58005226,81.04456708,-8.121180997,-78.22867373,6.118227376,-41.69265728,17.20765541
93.92371354,-69.2795371,-83.50425644,-165.2888124,-69.55137277,162.2352457,5.373807005,11.86860432,16.18803177,-20.88130458,3.519747382,-20.53668509,82.16267791,-7.269152402,-78.42806815,2.422878025,-41.73496813,23.20752892
94.27319156,-70.64047617,-84.85207625,-158.0322177,-68.09211617,156.8609189,6.090163626,12.66613433,16.59377374,-24.7668242,5.399217076,-20.51395319,83.21002053,-6.438834685,-78.70117529,0.689323189,-40.40792745,27.28205078
92.98625096,-72.44745483,-84.84054023,-152.3653629,-66.22606306,153.1309875,7.088123748,12.98704466,16.88707866,-29.39849104,6.869088223,-21.06054193,84.07324255,-5.862803497,-78.95301269,1.661024547,-39.74888288,30.24249024
90.85309296,-74.59998513,-83.34810411,-149.494333,-64.47809425,151.4522335,8.194105844,13.04281453,17.1944074,-33.12553871,7.995039439,-21.94515548,84.95811128,-5.350706072,-79.17564729,4.315193426,-40.16853865,30.05500611
88.33566175,-76.69038381,-81.02545793,-147.7429332,-63.05773701,150.3385015,9.340504916,12.89970096,17.43802556,-34.43300651,8.145950642,-22.50890106,85.76353094,-4.990496876,-79.23455207,8.308822415,-41.02749732,26.78729426
86.43895661,-78.81248866,-79.22083221,-145.2706989,-61.72788662,148.2525335,10.60215228,12.91735151,17.90139896,-35.31358553,7.670063985,-22.86432879,86.57114119,-4.616648404,-79.31360696,11.68201199,-42.75331832,22.92751681
85.50547677,-81.02100071,-78.09738342,-143.4302781,-60.38777487,146.8515745,11.93201348,13.31533751,18.15127168,-35.49697409,7.568825634,-22.08861065,87.31676484,-4.331273469,-79.43388924,16.96793572,-43.56346218,16.77392413
