Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-24.45740437,-44.20572055,68.41634514,47.06915816,-22.599233,-10.85990291,48.78294995,10.39156881,1.797662025,4.945706947,-3.989311337,55.85187757,55.98587862,-35.72874827,-26.84604819,39.93449489,14.22608914,-4.827283292
-24.43777909,-44.21578504,68.40877323,47.06912881,-22.6048867,-10.85725598,48.77968859,10.37442383,1.793554242,4.881497734,-3.925286955,55.79496596,55.97012224,-35.7481204,-26.84725277,39.95943739,14.2361346,-4.834603393
-24.45493815,-44.21246673,68.39410843,47.06501048,-22.62735795,-10.86701684,48.77943191,10.38423253,1.78163994,4.959744803,-3.965265986,55.71130647,55.97334494,-35.66058596,-26.78777087,39.98097086,14.20898433,-4.807351004
-24.45446385,-44.19171909,68.37940194,47.06828826,-22.61419309,-10.85378241,48.75645354,10.38818091,1.784910465,4.766255051,-4.01706268,55.7082755,55.98998771,-35.69225431,-26.80549234,39.96662602,14.20045167,-4.844228648
-24.45943019,-44.16828363,68.37478877,47.06832757,-22.62266406,-10.85698851,48.73511318,10.40948137,1.806391801,4.83705318,-4.156754077,55.64885929,56.02489342,-35.65102787,-26.79134087,39.95483013,14.1638277,-4.827237636
-24.45920764,-44.15415206,68.33384327,47.06104401,-22.62259565,-10.85651036,48.72610135,10.47818355,1.841137125,4.860695079,-4.225536695,55.86543016,56.07229126,-35.6128186,-26.7703848,39.93491229,14.12512546,-4.819282925
-24.46188907,-44.14302081,68.35185691,47.05889523,-22.61766473,-10.84136345,48.71903123,10.45096801,1.806922243,5.032682475,-4.356072113,55.87929876,56.10792693,-35.60415887,-26.76740921,39.91898392,14.11709705,-4.810432801
-24.47459878,-44.13495854,68.32801925,47.05288014,-22.61601468,-10.84116461,48.71580112,10.47275716,1.821239775,5.001924144,-4.347149951,56.06479528,56.11450177,-35.66563049,-26.82432247,39.89993583,14.16641933,-4.796288744
-24.46072544,-44.15171136,68.34011238,47.0527811,-22.62122266,-10.85206616,48.71916709,10.47914988,1.838581956,5.071603996,-4.297780917,55.9204045,56.13278948,-35.74950382,-26.83165945,39.88081981,14.14531769,-4.88844315
-24.4385074,-44.16325654,68.3537731,47.05499351,-22.61416064,-10.85167473,48.72055411,10.46208848,1.848184792,5.031005054,-4.177376357,55.82968921,56.17084112,-35.68244928,-26.80291714,39.87461707,14.1110297,-4.855593215
-24.44575613,-44.16408227,68.37185943,47.05468645,-22.60968331,-10.85262009,48.72460353,10.42239721,1.814173282,5.134566709,-4.09162257,55.93959428,56.21630689,-35.76590226,-26.92744686,39.81781848,14.15557081,-4.809204314
-24.41016312,-44.16543254,68.3181804,47.05594486,-22.60432536,-10.84140336,48.70403533,10.47917391,1.872825932,5.002485189,-4.099115957,55.9510013,56.29337219,-35.81249774,-26.97612187,39.75083474,14.1195804,-4.830487526
-24.39432598,-44.15339659,68.31166012,47.05379437,-22.59940354,-10.8533344,48.68509142,10.53053623,1.903785966,5.010528918,-4.143366537,55.8932349,56.32624011,-35.90384586,-27.09196602,39.70221723,14.16174213,-4.804697914
-24.41534088,-44.14831556,68.32079157,47.05812507,-22.60278071,-10.86708251,48.67887706,10.54042344,1.909078265,5.059849012,-4.062386423,56.09878092,56.31490791,-35.83136654,-27.04018831,39.73919888,14.12318161,-4.799536513
-24.40792895,-44.14832819,68.31291361,47.05949871,-22.59751872,-10.87408539,48.67263318,10.54113546,1.918884902,5.243587381,-4.166681184,56.07371133,56.28697554,-35.79579641,-27.03402575,39.76534133,14.14597897,-4.756470736
-24.43129935,-44.13031756,68.32821513,47.05395766,-22.60877085,-10.88331949,48.67234811,10.52795498,1.871423328,5.101370155,-4.047722343,56.20011286,56.30631918,-35.68199295,-26.96413472,39.77011827,14.09372855,-4.717796929
-24.43562799,-44.13079967,68.32506968,47.05128171,-22.60209484,-10.89372995,48.68671365,10.52003655,1.875502628,5.152978302,-4.116562948,56.0384993,56.30316356,-35.72042246,-26.96665748,39.77250818,14.09286946,-4.750807657
-24.43703803,-44.13287784,68.3159284,47.05126011,-22.59887295,-10.89886604,48.70104955,10.51245202,1.865702733,5.222558139,-4.202991602,55.90473412,56.30315208,-35.72143872,-26.96318966,39.7845946,14.09133264,-4.752605326
-24.44536543,-44.11328034,68.30850095,47.05293186,-22.60546762,-10.90620229,48.67092233,10.52124803,1.865743579,5.030196268,-4.194705512,56.04034544,56.30787929,-35.67279558,-26.95444713,39.79424811,14.09091715,-4.722942737
