Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
-26.19893163,45.66206276,-14.3222052,12.18865078,42.54773469,-1.082516284,71.10355476,-23.78347606,-42.87831969,-38.04193958,57.52560943,-29.82781319,10.54860138,38.5389899,-6.825527848,61.43630651,3.991438874,-4.240532311
-26.18959615,45.66422007,-14.31866717,12.16892253,42.55263658,-1.096744115,71.13115117,-23.756618,-42.87489727,-38.16534318,57.53503954,-29.91568544,10.60219562,38.51248665,-6.839363129,61.61622983,3.983470743,-4.129582126
-26.18013277,45.68140292,-14.31034265,12.17208238,42.55030256,-1.094981614,71.11031133,-23.74970702,-42.87106923,-38.22351216,57.5568281,-29.99974859,10.65412094,38.48468564,-6.799021754,61.45249189,3.960052368,-4.135468211
-26.16734183,45.69851296,-14.30312656,12.17791137,42.52073857,-1.071628584,71.09785467,-23.75406658,-42.82777739,-38.28824777,57.60426655,-30.0143926,10.62605432,38.44929289,-6.858736636,61.30939733,4.070113956,-4.206983097
-26.15493973,45.71296501,-14.28906409,12.20258017,42.49760106,-1.010889572,71.06894411,-23.73245992,-42.79659357,-38.38233194,57.65053159,-30.1036602,10.6518192,38.40067204,-6.857175271,61.30461687,4.224336999,-4.308158023
-26.14802191,45.72547875,-14.28077928,12.23041913,42.47771683,-0.960920228,71.04129528,-23.70469785,-42.77078071,-38.50631709,57.68643595,-30.18960287,10.6818445,38.3522647,-6.878554146,61.33093714,4.040811741,-4.19114722
-26.13496407,45.74370069,-14.26688514,12.28638127,42.45368159,-0.852231481,70.99122215,-23.64650714,-42.77379199,-38.47586665,57.70056806,-30.05566064,10.60312624,38.38292771,-6.999604369,61.54186653,4.00820646,-4.169919066
-26.12116716,45.76218472,-14.25508244,12.30328917,42.43030796,-0.770377636,70.9628228,-23.58988507,-42.77924123,-38.48182333,57.69778175,-29.9840088,10.56658787,38.41469184,-7.079889764,61.55690148,3.814315732,-4.061154668
-26.10009017,45.78222034,-14.22669745,12.30823914,42.41920413,-0.72270862,70.9524467,-23.55614487,-42.77991413,-38.33644839,57.7290615,-29.7914845,10.44200766,38.45908298,-7.15104588,61.41820513,3.92600985,-4.141176522
-26.0890039,45.79254405,-14.22177048,12.35459361,42.41461845,-0.622417255,70.91206316,-23.49654376,-42.79164286,-38.32017046,57.77016727,-29.7267623,10.37103703,38.4569329,-7.220644211,61.30100664,3.780445236,-4.050916718
-26.06692299,45.80831002,-14.20010242,12.36131619,42.41083792,-0.589465148,70.87161182,-23.4894935,-42.78984406,-38.27447594,57.82707413,-29.62981265,10.27552411,38.44534744,-7.297786074,61.17010378,3.904982633,-4.142181757
-26.05999204,45.81415494,-14.19698421,12.44435579,42.3972752,-0.494044164,70.78979924,-23.45302998,-42.75975335,-38.34942957,57.84993498,-29.69271573,10.30870263,38.41966303,-7.308405618,61.25862133,4.050157132,-4.252150633
-26.0482747,45.82373217,-14.178667,12.49734853,42.38432737,-0.442719156,70.72841095,-23.44342152,-42.71680026,-38.4277756,57.89484018,-29.69186911,10.25312011,38.39211717,-7.406620116,61.45040099,3.946185056,-4.235223905
-26.03592649,45.82716506,-14.1708306,12.50829244,42.39981298,-0.405289455,70.72410288,-23.44014071,-42.72305737,-38.40359739,58.00112666,-29.54255781,10.0842393,38.34874609,-7.566499783,61.30649726,3.835339424,-4.263782704
-26.03610946,45.83063188,-14.17209915,12.56494827,42.41916748,-0.343786259,70.6810276,-23.43081601,-42.73966756,-38.38830187,57.98433258,-29.56928271,10.11865088,38.37830721,-7.509137512,61.34599946,4.041965768,-4.307186544
-26.02181758,45.83865441,-14.15000447,12.57064437,42.43342278,-0.346391795,70.66532759,-23.47578648,-42.73019449,-38.39545675,57.98437989,-29.54596596,10.11585906,38.39495664,-7.531958721,61.39944906,3.886421175,-4.143992277
-26.01628951,45.84709023,-14.13512354,12.61233523,42.43791321,-0.299135311,70.60291421,-23.48194351,-42.71523204,-38.46226845,58.03005107,-29.57396169,10.10447531,38.35951944,-7.560110539,61.28639392,4.033847351,-4.142949177
-26.0022873,45.8520305,-14.11929286,12.63422545,42.44438386,-0.245140831,70.57787713,-23.48287806,-42.70136072,-38.54174128,58.05073735,-29.64609155,10.12956463,38.33586408,-7.542205989,61.11059973,3.996586057,-4.14248306
-25.97399595,45.85934149,-14.08994566,12.64970563,42.4622632,-0.22401802,70.56125232,-23.50836416,-42.69060246,-38.4921822,58.13677735,-29.58076456,10.0419918,38.29025366,-7.584331984,60.96480437,3.932327906,-4.123311583
-25.95562698,45.87496687,-14.06128366,12.67356831,42.47278128,-0.202557783,70.55931843,-23.52228021,-42.68297571,-38.36137247,58.12275688,-29.45974002,9.998876323,38.34880476,-7.574909338,60.91939501,3.775626509,-3.981339545
-25.94175173,45.89238595,-14.02486231,12.65328122,42.47861877,-0.189502547,70.51944351,-23.5193617,-42.65579015,-38.23769695,58.13716682,-29.27177597,9.884633057,38.39306911,-7.654353017,60.96400471,3.79542667,-3.887212795
-25.93006794,45.91262064,-13.98576021,12.72661752,42.48815408,-0.120136467,70.42646253,-23.49242933,-42.63654597,-38.21322201,58.22518445,-29.20581602,9.807636434,38.343662,-7.708565361,61.16737982,3.751865406,-3.86038585
-25.8990437,45.93897615,-13.93680149,12.67855645,42.48638692,-0.146650531,70.40739838,-23.48659781,-42.60158382,-38.10469972,58.32424045,-29.13019855,9.722568804,38.29946385,-7.683283305,61.17151724,3.935193048,-3.989157585
-25.8707018,45.96381768,-13.89982209,12.71437587,42.48494361,-0.072383197,70.34659562,-23.4611609,-42.61312842,-38.11396584,58.35310857,-29.19427949,9.757733311,38.28062781,-7.606426818,61.13085815,4.07100708,-4.099962451
-25.84055368,45.98316758,-13.85622966,12.71223439,42.48898031,-0.027663182,70.32233862,-23.47263399,-42.60962434,-38.07183212,58.46441743,-29.12112444,9.650735569,38.21909695,-7.662790972,61.00427148,3.902214169,-4.107578954
-25.80484037,46.00022605,-13.81815126,12.71188979,42.493036,0.040503197,70.3131223,-23.44576219,-42.63042538,-37.92533278,58.55437475,-29.09895964,9.644374663,38.18150133,-7.506263341,60.97317117,3.689788735,-4.083817926
-25.76715228,46.02345307,-13.768326,12.67971755,42.51921316,0.065616161,70.34116656,-23.42820032,-42.67630875,-37.77405184,58.66060039,-29.04649491,9.608824123,38.13706987,-7.378725915,61.04512374,3.841811235,-4.238111894
-25.72322524,46.04171109,-13.71430518,12.63070451,42.54803656,0.044282956,70.35663083,-23.4360141,-42.71099696,-37.69591079,58.74655114,-29.01589131,9.585195111,38.09518851,-7.310036578,61.16146255,4.02217859,-4.286257908
-25.68027782,46.05089125,-13.67592526,12.64082646,42.55644685,0.091491032,70.32139891,-23.41752618,-42.72510088,-37.57381712,58.82550046,-28.98313828,9.55422739,38.05869714,-7.202894973,61.205697,3.887077787,-4.127577216
-25.63597774,46.06466154,-13.62836903,12.64287996,42.56283198,0.135432177,70.28414565,-23.40660821,-42.73677071,-37.47754232,58.80488859,-28.87425762,9.523436536,38.1159971,-7.21468829,61.09472566,4.032352452,-4.222374967
-25.59379258,46.07747934,-13.58117118,12.65434777,42.57118435,0.169576869,70.24161901,-23.41973212,-42.73515376,-37.36069227,58.79736036,-28.74078187,9.470620188,38.16675026,-7.234223768,61.29171719,4.06369268,-4.234133552
-25.54066795,46.0951546,-13.52894925,12.63378904,42.59559401,0.162766545,70.23703881,-23.45285593,-42.74294208,-37.36581982,58.81324435,-28.81876121,9.542545676,38.1532147,-7.117911905,61.1262626,3.951445297,-4.167783291
-25.4951101,46.11200655,-13.48184323,12.58911326,42.61502301,0.172526538,70.25348817,-23.46121903,-42.75531634,-37.400908,58.83550608,-28.86834904,9.576174949,38.13896766,-7.078840201,61.18126456,3.761604092,-4.049531811
-25.44757073,46.13456552,-13.42204574,12.53051207,42.62542038,0.152104243,70.25664421,-23.48228727,-42.77069994,-37.37343301,58.88396625,-28.86324153,9.56391435,38.11943881,-7.041681158,61.07539909,3.776626049,-4.065538116
-25.38197058,46.15596535,-13.35665491,12.48960081,42.63894035,0.126166436,70.24612385,-23.50839621,-42.78472727,-37.223502,58.83570019,-28.74678162,9.553731234,38.21145056,-7.006983288,61.07610753,3.808562618,-3.947085292
-25.33185475,46.16586672,-13.30265229,12.44478891,42.65129223,0.148401481,70.26569253,-23.4849423,-42.80101078,-37.18205334,58.78375338,-28.65779887,9.540147348,38.28723176,-7.048419544,60.97102247,3.955507551,-4.043736391
-25.25458044,46.18223961,-13.22878713,12.42978088,42.65227752,0.187274734,70.22573348,-23.47228754,-42.80593775,-37.14925939,58.74099568,-28.61733289,9.542889686,38.34333118,-7.056538758,61.16978913,4.025337363,-4.090898978
-25.17775851,46.20666525,-13.15233283,12.37961162,42.64565615,0.196896077,70.219477,-23.45483679,-42.80743774,-37.11227858,58.71238919,-28.54713405,9.524325535,38.39271287,-7.092348586,60.98931365,4.012588789,-4.109719505
-25.10593938,46.23323706,-13.08662043,12.34554404,42.64251277,0.202744048,70.20694862,-23.44423019,-42.80446009,-37.0563517,58.69617758,-28.46505293,9.495860066,38.44012777,-7.123916724,61.12379971,4.136279861,-4.213330674
-25.03353235,46.25326453,-13.01803439,12.27548382,42.64486526,0.192437652,70.20192309,-23.4621011,-42.79421315,-37.03818687,58.69604382,-28.36545398,9.426706464,38.47099036,-7.210741164,60.97342518,4.024531873,-4.153266243
-24.97032961,46.27322556,-12.95085391,12.22204151,42.64903945,0.170284158,70.18886469,-23.48511334,-42.79385889,-37.0395716,58.6790086,-28.33237933,9.432801262,38.50265779,-7.223407708,61.16224049,4.107701638,-4.215498061
-24.90458878,46.29083251,-12.89021684,12.13736903,42.65994445,0.097652194,70.20940768,-23.5306668,-42.78938658,-37.1101593,58.70466857,-28.36208426,9.444647356,38.48007713,-7.238343119,61.27007444,3.943976485,-4.126783412
-24.85233726,46.29976516,-12.8356659,12.09033062,42.68002999,0.073632604,70.32364452,-23.6589591,-42.7443501,-37.00908319,58.78852798,-28.29483619,9.387957946,38.43924273,-7.203208511,61.09904158,4.006182791,-4.17802877
-24.79642306,46.30361562,-12.79533477,12.07858223,42.67913999,0.078884052,70.29951785,-23.6664025,-42.73596408,-36.93987333,58.87505994,-28.1860416,9.283541022,38.39718768,-7.268697291,61.26335958,3.868983794,-4.100768769
