Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt
-170.032292,5.01311277,177.9213331,7.475495758,28.7099103,-1.799064306
-170.0281383,5.013072908,177.9310293,7.467894243,28.70927919,-1.813299019
-170.0327187,5.012941649,177.9411048,7.453275584,28.7087164,-1.829123603
-170.0315762,5.012190852,177.9521849,7.443407304,28.70754672,-1.848905032
-170.0327414,5.015143049,177.9433174,7.444235297,28.70727326,-1.844440725
-170.0279707,5.016572769,177.9437577,7.450942607,28.71251291,-1.843346939
-170.0227745,5.018374291,177.9340143,7.45462183,28.71822897,-1.833252611
-170.0152514,5.019567157,177.9342555,7.455198325,28.72513743,-1.845738171
-170.0129027,5.020685794,177.9321417,7.455923707,28.73214808,-1.848787955
-170.0085689,5.021104399,177.9342775,7.456341014,28.73886686,-1.861862398
-169.9961619,5.022075681,177.930512,7.463021978,28.74588618,-1.861308205
-169.9856352,5.022798892,177.9410181,7.461221456,28.75215008,-1.874777697
-169.9745931,5.02414301,177.9373706,7.465204526,28.75733768,-1.886022744
-169.9650735,5.025681092,177.9309586,7.46915466,28.76307396,-1.891603262
-169.9551854,5.025972075,177.9323282,7.473852698,28.76911157,-1.892480231
-169.9531171,5.026397621,177.9309872,7.471168686,28.77217955,-1.899155706
-169.9472508,5.024111685,177.9379037,7.469628815,28.7742611,-1.907555374
-169.9454187,5.019044455,177.9449781,7.463083238,28.77425053,-1.91525979
-169.9440998,5.013193074,177.9587561,7.460877949,28.77470475,-1.919613288
-169.9354433,5.010466539,177.9566285,7.467672799,28.77585737,-1.91294033
-169.9347009,5.007684772,177.950263,7.473307634,28.78058593,-1.90374754
-169.9261186,5.007676285,177.9345886,7.48056766,28.78663874,-1.891867115
-169.9342865,5.008987629,177.9272917,7.477109271,28.79591215,-1.891859946
-169.9375266,5.011135702,177.9137354,7.482758085,28.80506816,-1.886988675
-169.9315242,5.011176653,177.9117128,7.483767879,28.81414698,-1.889815106
-169.9283969,5.0112167,177.9134476,7.485509212,28.82325415,-1.895710721
-169.9289701,5.009338753,177.9119607,7.484921204,28.83100204,-1.903258228
-169.9227032,5.005877674,177.8974886,7.491634336,28.8360635,-1.895379851
-169.9163611,5.00230392,177.8857799,7.497944953,28.84170586,-1.888674838
-169.912709,4.997396261,177.8814639,7.499408596,28.84673151,-1.888881458
-169.9028924,4.991085909,177.8863857,7.498296966,28.85172409,-1.893584322
-169.9010969,4.980931761,177.8876965,7.499562821,28.85754629,-1.894795018
-169.8973466,4.971859724,177.8961578,7.492713538,28.86427968,-1.908784586
-169.8821842,4.964433143,177.9009782,7.493269555,28.87100606,-1.917779304
-169.8781421,4.957632521,177.8964585,7.502629078,28.87798046,-1.918192211
-169.8705273,4.951679275,177.8858065,7.508876674,28.88211566,-1.909531553
