Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-6.214720796,21.01138488,58.91394487,19.56555636,7.828326858,-2.490898348,-49.22969605,-16.84213628,14.83276403,-28.87334904,88.37844787,85.0853774,-8.160807168,2.253503982,-12.77577281,-2.089255421,43.22269011,-20.59155585
-6.142464037,21.0555478,58.94510024,19.52533325,7.778809327,-2.519840543,-49.13516471,-16.8542149,14.84291331,-29.14156381,88.54316472,85.25932909,-8.181893389,2.475597168,-12.8900407,-2.390693838,43.02365367,-20.44648759
-6.07250955,21.09289229,58.96501646,19.48974528,7.722213402,-2.537858861,-49.03970759,-16.84988329,14.8380778,-29.39658761,88.70576455,85.45497326,-8.201708197,2.686625641,-13.00332839,-2.689785818,42.80657338,-20.29291229
-6.012900923,21.13255257,58.97903659,19.45807558,7.664000935,-2.544397893,-48.94785072,-16.83640668,14.81767651,-29.63749467,88.86151589,85.66934418,-8.224627117,2.89002588,-13.1201667,-2.983989277,42.57251162,-20.12602906
-5.950300584,21.16351216,58.99141519,19.42836344,7.604302029,-2.541338068,-48.8554353,-16.8175284,14.79453989,-29.85844261,88.99586174,85.9135868,-8.250807763,3.084044292,-13.23632368,-3.271231736,42.32128405,-19.94965269
-5.894799244,21.19432265,59.00127593,19.40287374,7.543004991,-2.531943715,-48.76519389,-16.80001095,14.76905726,-30.05520106,89.10035513,86.18765483,-8.278108578,3.273682262,-13.35842593,-3.553786174,42.05029782,-19.76204113
-5.839141216,21.21791814,59.01337924,19.3804931,7.480246716,-2.515962709,-48.67402202,-16.78717134,14.74954282,-30.22604169,89.16681553,86.49769397,-8.306460108,3.459024112,-13.48138606,-3.830583931,41.76100571,-19.56489386
-5.780357302,21.24067827,59.03193078,19.36374412,7.414981482,-2.491957331,-48.58763957,-16.78929528,14.74042341,-30.37541503,89.18892315,86.85421963,-8.335066523,3.639043651,-13.60609677,-4.101421361,41.45366299,-19.35840346
-5.722161876,21.25715256,59.04498756,19.35182042,7.353236829,-2.464052954,-48.50188027,-16.79634951,14.73587974,-30.50612697,89.17478494,87.24847311,-8.362787475,3.81420576,-13.7351032,-4.36982508,41.13013191,-19.14138362
-5.675034792,21.27502222,59.04830037,19.34438688,7.291251243,-2.432899773,-48.41859737,-16.80397773,14.72628666,-30.62396609,89.13150458,87.6710035,-8.390078382,3.983189889,-13.86728976,-4.633535141,40.79247219,-18.91532037
-5.63286759,21.29060881,59.04184559,19.3424048,7.236188233,-2.400169914,-48.33819852,-16.81527847,14.7146867,-30.72565519,89.06823939,88.11368346,-8.416767147,4.143988593,-14.00435701,-4.894694422,40.44358757,-18.67701822
-5.597688336,21.30925043,59.03814702,19.34586898,7.184020886,-2.366144142,-48.25976707,-16.84207798,14.71170742,-30.80943795,88.99785274,88.56497358,-8.44118226,4.293473084,-14.15142983,-5.160313071,40.08744482,-18.42359087
-5.567091546,21.32521919,59.0285799,19.35279271,7.136409202,-2.335613632,-48.18176193,-16.8715616,14.70913522,-30.87662184,88.9249574,89.02832619,-8.462923907,4.431905681,-14.29980561,-5.422743515,39.72688969,-18.16623956
-5.541898093,21.3413605,59.01914402,19.36369635,7.092541888,-2.308539436,-48.10677729,-16.89627239,14.69952926,-30.92664303,88.86459446,89.48813882,-8.479604318,4.559368366,-14.45457099,-5.688158172,39.36524178,-17.90012663
-5.526496136,21.36558283,59.01534817,19.37719288,7.054039115,-2.282706085,-48.03249354,-16.93954372,14.69997338,-30.95189462,88.82024709,89.94424321,-8.491074545,4.676358149,-14.60905473,-5.95350956,38.99806523,-17.62872259
-5.508164664,21.38521445,59.00631008,19.39348311,7.018475461,-2.259405033,-47.95900265,-16.98639677,14.70372791,-30.68643484,88.92196026,90.05371165,-8.4926949,4.784234713,-14.76583109,-6.222131097,38.62373085,-17.35449855
-5.517318675,21.41737811,58.97734572,19.41314742,6.988249577,-2.240947055,-47.88797077,-17.04432802,14.71661887,-30.39629716,89.02111207,90.17603424,-8.484669648,4.8844384,-14.92276278,-6.492222295,38.24069221,-17.08072914
