Right_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_AnkleRot,Right_Ankleprog,Right_Ankledors,Left_KneeIntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_Hip_IntExt,Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_AnkleRot,Left_Ankleprog,Left_Ankledors
-8.745225631,11.20888874,-1.998063951,-5.043315821,-11.14023702,-7.573541897,123.0239657,119.4610234,32.70410968,6.906896172,-20.97750743,-59.16484472,1.621144979,21.54630635,26.38193802,52.02558604,21.11057749,-13.06545348
-9.072805174,11.94030958,-2.194345341,-4.933087341,-11.40322433,-7.573875122,122.3290894,119.1091383,31.88525312,6.889316777,-20.79061629,-59.05614797,1.55612515,21.289103,26.19024114,52.04754033,21.16534526,-13.07189346
-9.40240627,12.67267999,-2.386908071,-4.822563259,-11.66135714,-7.574256462,121.6448843,118.7556039,31.06820809,6.858787464,-20.58432284,-58.94794673,1.49822163,21.02585435,25.99729781,52.07195629,21.21518361,-13.07340466
-9.725936552,13.4044314,-2.579640926,-4.720707124,-11.91385389,-7.57379091,120.9714385,118.4048957,30.25243206,6.817811283,-20.36495933,-58.83966878,1.445264388,20.75535125,25.80301147,52.10079954,21.26229625,-13.07385576
-10.04161643,14.13482544,-2.772431874,-4.624425772,-12.16063084,-7.572319862,120.308194,118.0584648,29.43632207,6.761759757,-20.12669205,-58.72971866,1.403334751,20.48153256,25.60486952,52.1314098,21.30610041,-13.06882504
-10.35245784,14.8761569,-2.962885884,-4.470969625,-12.23201042,-7.557826224,119.654944,117.7157741,28.62423102,6.68782105,-19.87041002,-58.61798805,1.434941325,20.42131626,25.38713673,52.16368462,21.34487502,-13.061229
-10.65262704,15.6180241,-3.150387146,-4.321713315,-12.30415772,-7.542556788,119.0111822,117.373834,27.81679079,6.609174776,-19.60750256,-58.50909775,1.484287147,20.36075325,25.17128024,52.20025799,21.37652916,-13.04497597
-10.94767389,16.35123211,-3.336932437,-4.171826149,-12.36815418,-7.520503545,118.3797806,117.0331567,27.01429335,6.523888613,-19.33747312,-58.40554428,1.551960105,20.30275531,24.96273169,52.23188851,21.40109179,-13.01886036
-11.2313187,17.08777094,-3.518979469,-4.022735431,-12.43858789,-7.495989279,117.7585141,116.6960367,26.21585622,6.429813964,-19.06665702,-58.30773244,1.641703046,20.24625672,24.76322512,52.26547842,21.42393405,-12.99182334
-11.50890598,17.82174437,-3.696560466,-3.872196846,-12.51090849,-7.464182837,117.1416968,116.3600923,25.41944461,6.338725479,-18.79903485,-58.2164845,1.752586854,20.19253233,24.57607486,52.30363569,21.44055461,-12.95769705
-11.78643518,18.55624071,-3.870301202,-3.717014988,-12.58408544,-7.421332191,116.5329552,116.0259682,24.62620839,6.25231223,-18.54016554,-58.13100978,1.879513339,20.14334082,24.40725198,52.34806012,21.4508329,-12.91889248
-12.0544308,19.30262263,-4.03921701,-3.561207064,-12.66965167,-7.368203712,115.9311477,115.6937208,23.83780052,6.169403386,-18.28283897,-58.05522425,2.026748485,20.10259487,24.25913711,52.39297406,21.45353196,-12.87151054
